total_pkts,target_pkts,pkt_ratio,avg_pkt_size,unique_MACs,mean_IAT_us,IAT_variance
99,66,0.667,136.2,5,9702.7,292034939.7
54,3,0.056,140.7,4,17438.2,560725541.3
153,9,0.059,84.2,7,6298.5,97430784.4
59,8,0.136,137.4,6,16205.9,388476978.6
142,95,0.669,662.8,5,6904.7,239106127.0
106,21,0.198,144.1,4,8911.0,222780457.3
138,49,0.355,164.2,4,7211.4,174407253.0
223,92,0.413,201.2,7,4469.5,74703696.4
454,190,0.419,102.2,7,2199.6,18616117.4
268,43,0.160,65.0,7,3678.7,40910529.1
151,42,0.278,186.7,5,6513.4,195620818.9
101,21,0.208,179.7,4,9693.8,195097807.5
90,9,0.100,226.4,5,10913.2,182505746.7
49,8,0.163,282.9,6,19991.1,424418842.0
282,26,0.092,208.1,7,3535.0,66455918.5
90,15,0.167,466.6,6,11047.5,305542249.2
219,39,0.178,203.1,7,4489.6,68356108.5
146,18,0.123,244.3,6,6585.1,126585017.1
179,1,0.006,136.1,7,5468.7,78560597.2
229,91,0.397,252.9,6,4257.5,49835538.5
103,36,0.350,254.0,7,9539.0,192428394.7
712,609,0.855,113.7,5,1347.0,12831129.6
211,130,0.616,124.7,5,4670.9,127860419.1
96,35,0.365,277.9,6,10356.1,270306217.5
306,51,0.167,94.2,7,3242.8,24171119.8
271,16,0.059,68.5,6,3668.7,48059178.9
80,19,0.237,109.6,5,12351.0,415426779.8
158,86,0.544,196.1,4,5870.0,140804593.8
68,44,0.647,157.2,3,14222.4,461672450.1
155,127,0.819,290.0,4,6342.3,152253931.6
275,243,0.884,233.2,4,3455.7,98740460.3
257,172,0.669,185.0,5,3861.7,47433627.7
232,121,0.522,111.1,6,4129.6,35776000.5
183,93,0.508,214.6,6,5375.6,89406243.0
194,66,0.340,162.8,6,4961.1,72532518.9
291,167,0.574,227.0,5,3437.1,73113161.1
313,278,0.888,156.2,6,3058.8,47128382.8
