total_pkts,target_pkts,pkt_ratio,avg_pkt_size,unique_MACs,mean_IAT_us,IAT_variance
951,793,0.834,103.7,8,1044.1,8519559.7
1589,1231,0.775,106.1,8,627.8,2406470.4
636,314,0.494,121.8,6,1565.6,22078655.6
939,823,0.876,134.3,5,1055.7,16763305.0
1068,913,0.855,120.1,6,922.3,9110217.8
1376,1025,0.745,120.9,5,717.1,6337956.8
1239,977,0.789,139.7,5,782.0,5104710.6
1219,1067,0.875,134.4,6,807.5,6288814.4
1067,885,0.829,131.0,4,934.8,6046898.2
1343,1036,0.771,124.8,4,732.9,3551252.5
1092,811,0.743,147.7,5,915.1,6263186.9
1119,752,0.672,131.6,5,886.5,7225878.8
1187,1027,0.865,126.2,4,817.0,7437038.5
1277,1217,0.953,109.8,6,778.2,7241082.9
1192,1092,0.916,107.3,6,830.0,6706969.0
1071,1016,0.949,118.0,6,920.5,13462753.5
1317,1164,0.884,106.7,5,756.1,7164829.3
1256,946,0.753,112.9,6,784.9,4616293.1
1103,919,0.833,103.5,5,894.5,6914478.2
1076,973,0.904,108.3,5,918.1,7469591.1
833,818,0.982,110.6,3,1196.2,15169473.7
1094,1013,0.926,108.1,4,905.1,9470087.0
1094,1010,0.923,107.9,5,910.9,7878467.2
1210,1073,0.887,127.4,6,822.7,8415289.5
1196,1115,0.932,108.6,7,835.6,7329018.4
1129,1026,0.909,107.4,5,876.5,8319362.9
